iso3,period,unga_ideal_point
GHA,2000-2004,-0.6127773642539978
GHA,2005-2009,-0.4015577495098114
GHA,2010-2014,-0.5025238752365112
GHA,2015-2018,-0.3236047253012657
GIN,1990-1994,-0.626163375377655
GIN,1995-1999,-0.6844352781772614
GIN,2000-2004,-0.5994544982910156
GIN,2005-2009,-0.760413384437561
GIN,2010-2014,-0.6614577889442443
GIN,2015-2018,-0.7243275195360184
GMB,1990-1994,-0.32504045963287354
GMB,1995-1999,-0.7162936627864838
GMB,2000-2004,-0.8051513075828552
GMB,2005-2009,-0.9453641414642334
GMB,2010-2014,-0.5373573422431945
GMB,2015-2018,-0.6621895730495453
GNB,1990-1994,-0.5880672335624695
GNB,1995-1999,-0.6264441549777985
GNB,2000-2004,-0.629060705502828
GNB,2005-2009,-0.44465029835700987
GNB,2010-2014,-0.4735906422138214
GNB,2015-2018,-0.5650025233626366
GNQ,1990-1994,-0.013978430069983006
GNQ,1995-1999,-0.08029619902372362
GNQ,2000-2004,-0.4281364891678095
GNQ,2005-2009,-0.2158848576247692
GNQ,2010-2014,-0.4375923663377762
GNQ,2015-2018,-0.5534074008464813
GRC,1990-1994,0.9821180105209351
GRC,1995-1999,1.1099792003631592
GRC,2000-2004,0.9814723253250122
GRC,2005-2009,0.9223009705543518
GRC,2010-2014,0.853618037700653
GRC,2015-2018,0.8020614832639694
GRD,1990-1994,-0.2074164856225252
GRD,1995-1999,-0.11014632023870943
GRD,2000-2004,-0.26458842158317564
GRD,2005-2009,-0.3733570635318756
GRD,2010-2014,-0.45642133951187136
GRD,2015-2018,-0.46122312545776367
GTM,1990-1994,-0.3577140748500824
GTM,1995-1999,-0.02410749521804974
GTM,2000-2004,0.05606650384142995
GTM,2005-2009,-0.10846738219261169
GTM,2010-2014,-0.1512080892920494
GTM,2015-2018,0.025795107474550605
GUY,1990-1994,-0.46836853325366973
GUY,1995-1999,-0.3875281989574432
GUY,2000-2004,-0.5181128442287445
GUY,2005-2009,-0.5414437234401703
GUY,2010-2014,-0.6272899270057678
GUY,2015-2018,-0.4943273067474365
HND,1990-1994,-0.10472367554903031
HND,1995-1999,-0.1550034150481224
HND,2000-2004,-0.05032930746674538
HND,2005-2009,-0.11062453985214234
HND,2010-2014,-0.02679953575134277
HND,2015-2018,0.09160605166107416
HRV,1990-1994,1.0224815209706624
HRV,1995-1999,0.9701050400733948
