country_iso3,period,ideal_point
MNG,1995-1999,-1.4386302298099745
MOZ,1995-1999,-0.331993352750413
MRT,1995-1999,0.20811997533151844
MUS,1995-1999,0.3976401105429897
MWI,1995-1999,0.5197329200914373
MYS,1995-1999,1.0764804423374594
NAM,1995-1999,-0.82513388152314
NER,1995-1999,-0.9949842061664507
NGA,1995-1999,-0.2727070288443663
NIC,1995-1999,-0.3940476437355015
NIU,1995-1999,1.658159218832964
NLD,1995-1999,-0.017048292001248314
NOR,1995-1999,-0.4336754879689904
NPL,1995-1999,0.3875720894820727
NRU,1995-1999,1.1198567118409717
NZL,1995-1999,-0.38260869938708036
OMN,1995-1999,-0.04150100552852384
PAK,1995-1999,1.269242926973189
PAN,1995-1999,-1.462615294353501
PER,1995-1999,-1.8085441034388918
PHL,1995-1999,-0.8801765401522215
PLW,1995-1999,1.2061676343783665
PNG,1995-1999,1.5151142878714434
POL,1995-1999,0.001355854107606396
PRK,1995-1999,-0.8864668836240392
PRT,1995-1999,-1.7546213853906965
PRY,1995-1999,-1.8085441034388918
PSE,1995-1999,0
QAT,1995-1999,-0.04150100552852384
ROU,1995-1999,-0.5230381972587328
RUS,1995-1999,0.4653755663522865
RWA,1995-1999,-0.8215583487108057
SAU,1995-1999,0.3676684380799547
SDN,1995-1999,-0.1409438734682889
SEN,1995-1999,-1.02728356590891
SGP,1995-1999,1.075943472695264
SLB,1995-1999,1.0307661263466577
SLE,1995-1999,0.21463016302041266
SLV,1995-1999,-1.0377664301995133
SMR,1995-1999,-0.027183976189931645
SOM,1995-1999,1.720643808958933
SRB,1995-1999,0
SSD,1995-1999,0
STP,1995-1999,1.7949264016359716
SUR,1995-1999,1.4929798884020296
SVK,1995-1999,-0.6958439698000904
SVN,1995-1999,-1.3901754963308823
SWE,1995-1999,-0.8528646293723431
SWZ,1995-1999,0.8673935276001798
SYC,1995-1999,0.6145444551107093
SYR,1995-1999,-0.5845656965950505
TCD,1995-1999,0.3533833790768907
TGO,1995-1999,-0.1272781949906479
THA,1995-1999,-0.17291933771453236
TJK,1995-1999,0.08040168788089028
TKM,1995-1999,0.15142448065687547
TLS,1995-1999,0
TON,1995-1999,1.658159218832964
TTO,1995-1999,1.7097119382641899
TUN,1995-1999,-1.1647527847911574
TUR,1995-1999,-1.0936265694963043
TUV,1995-1999,1.4635808066204894
TZA,1995-1999,-0.5720029079991227
UGA,1995-1999,-0.6182412707145656
UKR,1995-1999,-0.6543836220444164
URY,1995-1999,-1.947016850281415
USA,1995-1999,0.3533833790768907
UZB,1995-1999,0.9012059786486042
VAT,1995-1999,0.3533833790768907
VCT,1995-1999,0.7307498182492725
VEN,1995-1999,-0.3996601205049157
VNM,1995-1999,0.34641591879359984
VUT,1995-1999,0.31053395654065874
WSM,1995-1999,0.8947819194251994
YEM,1995-1999,-0.1409438734682889
ZAF,1995-1999,-0.27892605812296584
ZMB,1995-1999,1.1316464902588035
ZWE,1995-1999,0.8924129789003465
AFG,2000-2004,-0.0702324874655717
AGO,2000-2004,0.4184871780671359
ALB,2000-2004,-0.5117469588653057
AND,2000-2004,-0.613578355916832
ARE,2000-2004,1.5371778510018588
ARG,2000-2004,-1.880890904359162
ARM,2000-2004,0.026563957718293563
ATG,2000-2004,0.8203478803318583
AUS,2000-2004,-0.14515037486921745
