"country_iso3","period","ideal_point"
"BFA","2000-2004",-0.94898331967669
"BGD","2000-2004",-0.0330630518916178
"BGR","2000-2004",1.55278244343372
"BHR","2000-2004",-0.92455781427082
"BHS","2000-2004",-0.154960412716144
"BIH","2000-2004",-1.29181795986083
"BLR","2000-2004",-0.101031583885639
"BLZ","2000-2004",0.0840449241968871
"BOL","2000-2004",-0.08125697454257
"BRA","2000-2004",0.324849758330251
"BRB","2000-2004",-0.0126316215187067
"BRN","2000-2004",-0.43365736257304
"BTN","2000-2004",-1.39139981228627
"BWA","2000-2004",-1.27382101803334
"CAF","2000-2004",-1.51246425524803
"CAN","2000-2004",-0.145035313270078
"CHE","2000-2004",2.03307296443149
"CHL","2000-2004",-0.202090995685984
"CHN","2000-2004",0.413723088481906
"CIV","2000-2004",0.286243606800179
"CMR","2000-2004",-0.764107506026057
"COD","2000-2004",-0.971832233998352
"COG","2000-2004",0.117471906578564
"COK","2000-2004",-1.03388971563872
"COL","2000-2004",-0.110511899165938
"COM","2000-2004",-0.0257418775813547
"CPV","2000-2004",-0.0888356489326067
"CRI","2000-2004",-0.893030805006814
"CUB","2000-2004",-0.205212800418643
"CUW","2000-2004",-0.626220604052476
"CYP","2000-2004",1.3160477837939
"CZE","2000-2004",1.27921269874244
"DEU","2000-2004",3.25790417112102
"DJI","2000-2004",-0.365033490987602
"DMA","2000-2004",0.0410075887841238
"DNK","2000-2004",2.73016893495324
"DOM","2000-2004",-0.250686308523568
"DZA","2000-2004",-0.102935573993549
"ECU","2000-2004",0.523600538866987
"EGY","2000-2004",0.484976202778763
"ERI","2000-2004",-1.84788856246955
"ESP","2000-2004",2.30916643029068
"EST","2000-2004",1.43877903158503
"ETH","2000-2004",-1.03049577214082
"FIN","2000-2004",2.73687749414091
"FJI","2000-2004",-0.956189823971383
"FRA","2000-2004",2.84013014185969
"GAB","2000-2004",0.251658087286063
"GBR","2000-2004",2.11005587957665
"GEO","2000-2004",0.293814658734783
"GHA","2000-2004",-0.319808028808173
"GIN","2000-2004",0.191396428709561
"GMB","2000-2004",0.0157983622768416
"GNB","2000-2004",-1.19683419015632
"GNQ","2000-2004",-0.492891202270355
"GRC","2000-2004",1.22661045864781
"GRD","2000-2004",-0.794290280734653
"GTM","2000-2004",0.0189582813332436
"GUF","2000-2004",-4.76044480654019
"GUY","2000-2004",-0.175388271177105
"HKG","2000-2004",-4.21735066754796
"HND","2000-2004",-0.143097170311882
"HRV","2000-2004",1.5133522300784
"HTI","2000-2004",-1.35356155266905
"HUN","2000-2004",1.49982680102257
"IDN","2000-2004",-0.37102929116153
"IND","2000-2004",0.413450860023417
"IRL","2000-2004",1.55969469709861
"IRN","2000-2004",-0.136662979035956
"IRQ","2000-2004",-2.06592300524348
"ISL","2000-2004",0.683521336299362
"ISR","2000-2004",-0.294354366084419
"ITA","2000-2004",1.7485458979745
"JAM","2000-2004",0.252577633797336
"JOR","2000-2004",-0.731982737668464
"JPN","2000-2004",0.791479189683362
"KAZ","2000-2004",-0.075878817197188
"KEN","2000-2004",0.511171692103481
"KGZ","2000-2004",-1.10717976113887
"KHM","2000-2004",-0.0185432107786329
"KIR","2000-2004",-0.776835880017933
"KNA","2000-2004",0.171545125239101
"KOR","2000-2004",0.614809610976226
"KWT","2000-2004",-0.847322761519999
"LAO","2000-2004",-1.21460320323125
"LBN","2000-2004",-0.232377990355809
"LBR","2000-2004",0.128262803929668
"LBY","2000-2004",-0.798932600824738
"LCA","2000-2004",0.200030370239402
"LIE","2000-2004",-0.735655348390366
"LKA","2000-2004",-0.101573873513351
"LSO","2000-2004",-1.32519983286224
"LTU","2000-2004",1.70084261767287
"LUX","2000-2004",1.75838403124651
"LVA","2000-2004",1.47167453793796
"MAC","2000-2004",-4.55108308787874
"MAR","2000-2004",1.00489002054192
"MCO","2000-2004",0.690822648289353
"MDA","2000-2004",-0.711514679134367
"MDG","2000-2004",-0.812313032833061
"MDV","2000-2004",-0.913919860536514
"MEX","2000-2004",-0.0769855235421221
"MHL","2000-2004",0.00604670965269556
"MKD","2000-2004",-0.807419337437939
"MLI","2000-2004",-0.81775810820376
"MLT","2000-2004",0.435442408173964
"MMR","2000-2004",-0.403778009308092
"MNE","2000-2004",0.821499633256429
"MNG","2000-2004",0.222712205105234
"MOZ","2000-2004",-0.854145004255573
"MRT","2000-2004",0.157314692581926
"MSR","2000-2004",-4.660228087654
"MUS","2000-2004",0.512228495616749
"MWI","2000-2004",-0.0731763427876387
"MYS","2000-2004",-0.250207875194783
"NAM","2000-2004",-0.0547080149796615
"NER","2000-2004",-1.04443639584917
"NGA","2000-2004",0.12172182000995
"NIC","2000-2004",0.013317838930467
"NIU","2000-2004",-1.47653076361421
"NLD","2000-2004",2.6274576927748
"NOR","2000-2004",2.43062610026518
