freq,reporter_code,product_code,partner_code,datatype,FREQ_LABEL,REPORTER_LABEL,PRODUCTCODE_LABEL,PARTNER_LABEL,DATATYPE_LABEL,year,tariff_value,nomencode,EXCLUDEDFROM,tariff_type,SUM_OF_RATES,MIN_RATE,MAX_RATE,TOTALNOOFLINES,NBR_PREF_LINES,NBR_MFN_LINES,NBR_NA_LINES,obs_value_measure,partner_override,hs6_code,hs4_code_raw,nbr_na_lines,ad_valorem_only,reporter_iso3,reporter_name,reporter_is_group,reporter_group_type,partner_iso3,partner_name,partner_is_group,partner_group_type,source
A,076,020890,000,Reported,Annual,Brazil,- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,020890,0208,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,020900,000,Reported,Annual,Brazil,"(-2011) Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,160,20,20,8,0,8,0,SimpleAverage,000,020900,0209,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,021011,000,Reported,Annual,Brazil,"-- Hams, shoulders and cuts thereof, with bone in",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,021011,0210,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,021012,000,Reported,Annual,Brazil,-- Bellies (streaky) and cuts thereof,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,60,20,20,3,0,3,0,SimpleAverage,000,021012,0210,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,021019,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,20,20,20,1,0,1,0,SimpleAverage,000,021019,0210,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,021020,000,Reported,Annual,Brazil,- Meat of bovine animals,World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,40,20,20,2,0,2,0,SimpleAverage,000,021020,0210,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,021090,000,Reported,Annual,Brazil,"(-2001) - Other, including edible flours and meals of meat or meat offal",World,Reported Tariff (Not estimated),1990,20,H0,NA,MFN,80,20,20,4,0,4,0,SimpleAverage,000,021090,0210,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030110,000,Reported,Annual,Brazil,(-2011) - Ornamental fish,World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030110,0301,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030191,000,Reported,Annual,Brazil,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",World,Reported Tariff (Not estimated),1990,12.5,H0,NA,MFN,25,0,25,2,0,2,0,SimpleAverage,000,030191,0301,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030192,000,Reported,Annual,Brazil,-- Eels (Anguilla spp.),World,Reported Tariff (Not estimated),1990,12.5,H0,NA,MFN,25,0,25,2,0,2,0,SimpleAverage,000,030192,0301,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030193,000,Reported,Annual,Brazil,"-- Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",World,Reported Tariff (Not estimated),1990,12.5,H0,NA,MFN,25,0,25,2,0,2,0,SimpleAverage,000,030193,0301,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030199,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,12.5,H0,NA,MFN,25,0,25,2,0,2,0,SimpleAverage,000,030199,0301,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030211,000,Reported,Annual,Brazil,"-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030211,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030212,000,Reported,Annual,Brazil,"(-2011) -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030212,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030219,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030219,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030221,000,Reported,Annual,Brazil,"-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030221,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030222,000,Reported,Annual,Brazil,-- Plaice (Pleuronectes platessa),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030222,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030223,000,Reported,Annual,Brazil,-- Sole (Solea spp.),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030223,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030229,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030229,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030231,000,Reported,Annual,Brazil,-- Albacore or longfinned tunas (Thunnus alalunga),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030231,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030232,000,Reported,Annual,Brazil,-- Yellowfin tunas (Thunnus albacares),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030232,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030233,000,Reported,Annual,Brazil,-- Skipjack or stripe-bellied bonito,World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030233,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030239,000,Reported,Annual,Brazil,-- Other,World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030239,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030240,000,Reported,Annual,Brazil,"(-2011) - Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030240,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030250,000,Reported,Annual,Brazil,"(-2011) - Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030250,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030261,000,Reported,Annual,Brazil,"(-2011) -- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030261,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030262,000,Reported,Annual,Brazil,(-2011) -- Haddock (Melanogrammus aeglefinus),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030262,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
A,076,030263,000,Reported,Annual,Brazil,(-2011) -- Coalfish (Pollachius virens),World,Reported Tariff (Not estimated),1990,25,H0,NA,MFN,25,25,25,1,0,1,0,SimpleAverage,000,030263,0302,0,TRUE,BRA,Brazil,No,N/A,NA,NA,NA,NA,WITS/TRAINS
